,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
2193,J.B. Holmes,77.0,70.789,306.1,57.13,65.26,-0.207,0.7559999999999999,0.5489999999999999,3,0,2018,1595942,640
2194,Cameron Smith,85.0,70.517,298.4,57.03,63.18,0.115,0.10399999999999988,0.2189999999999999,5,0,2018,3622607,821
2195,Tyrone Van Aswegen,101.0,71.243,290.3,56.98,65.23,-0.01,-0.3129999999999999,-0.3229999999999999,1,0,2018,763584,364
2196,Jamie Lovemark,92.0,70.734,303.2,56.92,64.65,0.01,0.3779999999999999,0.3879999999999999,3,0,2018,1377286,576
2197,Peter Malnati,87.0,70.84100000000001,290.9,56.86,62.99,0.619,-0.375,0.244,0,0,2018,420001,226
2198,Brooks Koepka,64.0,69.444,313.4,56.85,68.28,0.168,1.052,1.22,5,2,2018,7094047,2012
2199,Sung Kang,89.0,71.954,293.1,56.72,63.2,-0.235,-0.8059999999999999,-1.041,2,0,2018,1243309,480
2200,Scott Stallings,96.0,70.719,299.7,56.57,65.62,-0.07,0.34,0.27,2,0,2018,1147573,470
2201,Shawn Stefani,76.0,71.192,299.6,56.52,67.49,-0.034,0.14100000000000001,0.107,1,0,2018,523204,268
2202,Robert Garrigus,80.0,71.457,307.9,56.37,65.28,-0.569,0.356,-0.213,1,0,2018,702030,353
2203,Nick Watney,94.0,70.862,307.5,56.33,67.96,0.2,0.1429999999999999,0.3429999999999999,1,0,2018,1402833,491
2204,Rob Oppenheim,74.0,71.532,285.2,56.26,64.05,0.045,-0.5870000000000001,-0.542,0,0,2018,279019,148
2205,Grayson Murray,72.0,72.09100000000001,307.3,56.0,62.5,-0.35,0.013999999999999957,-0.336,2,0,2018,1056628,438
2206,Rory McIlroy,64.0,69.303,319.7,55.79,66.3,0.06,1.3519999999999999,1.412,5,1,2018,4410296,1154
2207,Dominic Bozzelli,65.0,71.179,297.0,55.69,60.94,0.308,-0.363,-0.055,0,0,2018,391634,190
2208,Patton Kizzire,92.0,70.84100000000001,298.7,55.59,69.04,0.03,-0.063,-0.033,4,2,2018,3541151,1386
2209,Matt Every,79.0,72.044,294.2,55.5,64.59,-0.364,-0.775,-1.139,1,0,2018,299162,113
2210,Cody Gribble,71.0,72.112,301.0,55.45,62.48,0.201,-1.02,-0.8190000000000001,0,0,2018,302593,141
2211,Wesley Bryan,69.0,71.55199999999999,280.4,55.41,61.28,0.36,-0.8139999999999998,-0.4539999999999999,0,0,2018,498166,219
