,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
0,Aaron Baddeley,83.0,70.088,291.9,60.0,60.35,0.629,0.435,1.064,7,1,2007,3441119,17703
1,Adam Scott,69.0,70.008,300.9,59.17,65.44,0.129,1.105,1.234,6,1,2007,3413185,15630
2,Alex Cejka,80.0,70.437,288.9,68.08,69.44,-0.479,1.207,0.728,4,0,2007,868303,2400
3,Anders Hansen,55.0,70.856,280.7,66.95,62.85,-0.176,0.087,-0.089,0,0,2007,461216,1989
4,Andrew Buckle,77.0,71.443,294.7,58.14,62.52,0.161,-0.426,-0.265,1,0,2007,513630,1875
5,Anthony Kim,93.0,70.128,302.4,60.79,65.35,-0.121,0.794,0.673,4,0,2007,1545195,6856
6,Arron Oberholser,69.0,69.807,285.5,61.7,62.25,0.362,0.821,1.183,5,0,2007,1797458,8811
7,Bart Bryant,87.0,70.637,281.1,70.66,66.34,0.198,0.44,0.638,2,0,2007,1167874,4555
8,Ben Curtis,80.0,71.582,277.1,67.37,60.56,-0.188,-0.561,-0.749,2,0,2007,772321,2955
9,Bill Haas,93.0,70.653,302.7,62.93,65.98,-0.018,0.426,0.408,3,0,2007,967443,2461
10,Billy Andrade,88.0,71.588,286.2,59.56,65.03,-0.134,-0.107,-0.241,0,0,2007,499197,2019
11,Billy Mayfair,98.0,70.444,286.8,70.7,68.08,-0.086,0.69,0.604,6,0,2007,1814518,6309
12,Bo Van Pelt,104.0,70.051,294.7,61.97,66.4,0.16,0.789,0.949,4,0,2007,1559181,5604
13,Bob Estes,88.0,70.962,282.6,65.28,63.19,0.616,-0.235,0.38,3,0,2007,878051,3119
14,Bob Heintz,85.0,71.162,285.2,64.74,63.17,0.221,-0.143,0.078,2,0,2007,649342,2888
15,Bob Tway,103.0,71.272,284.3,60.45,63.52,0.16,-0.489,-0.329,0,0,2007,456767,1790
16,Boo Weekley,101.0,70.303,296.6,64.65,65.86,-0.192,0.819,0.627,5,1,2007,2613211,10790
17,Brandt Snedeker,105.0,70.089,285.6,59.8,64.58,0.511,0.161,0.672,6,1,2007,2836643,13277
18,Brendon de Jonge,76.0,71.413,293.8,59.2,64.35,-0.083,-0.188,-0.271,2,0,2007,447172,1010
19,Brett Quigley,79.0,71.212,290.7,55.9,62.11,-0.005,0.134,0.128,1,0,2007,717411,2963
20,Brett Wetterich,88.0,70.902,303.3,58.15,66.28,-0.533,0.667,0.134,4,0,2007,2208282,9854
21,Brian Bateman,55.0,71.657,291.6,58.74,61.33,-0.079,-0.66,-0.739,1,1,2007,1022763,5102
22,Brian Davis,101.0,70.799,279.6,71.96,64.96,0.065,0.528,0.593,3,0,2007,1289207,4653
23,Brian Gay,107.0,70.877,270.0,72.9,62.94,0.384,-0.028,0.356,2,0,2007,1114571,4619
24,Briny Baird,115.0,70.662,292.1,66.24,69.27,-0.049,0.635,0.586,1,0,2007,985453,3517
25,Bryce Molder,56.0,72.853,291.2,54.82,59.47,0.186,-1.629,-1.443,1,0,2007,257593,107
26,Bubba Dickerson,51.0,72.712,298.9,61.68,59.34,-0.66,-0.97,-1.63,0,0,2007,87430,252
27,Bubba Watson,80.0,70.914,315.2,55.66,65.49,0.085,0.288,0.372,5,0,2007,1654807,7198
28,Cameron Beckman,96.0,70.845,291.9,67.7,69.87,-0.072,0.49,0.418,3,0,2007,902258,1610
29,Camilo Villegas,82.0,70.163,298.3,60.23,65.72,0.046,0.903,0.949,6,0,2007,1866961,10337
30,Carl Pettersson,111.0,70.453,288.5,59.41,63.84,0.232,0.589,0.821,6,0,2007,2040938,7309
31,Chad Campbell,96.0,71.309,287.0,62.79,63.77,-0.477,0.24,-0.237,2,1,2007,1701242,3144
32,Charles Howell III,89.0,70.655,299.8,49.54,63.37,0.338,0.03,0.368,5,1,2007,2832091,13427
33,Charles Warren,101.0,70.793,302.8,66.81,68.37,-0.324,0.638,0.314,3,0,2007,1068440,4012
34,Charley Hoffman,97.0,71.229,299.9,57.08,64.03,0.153,-0.187,-0.034,2,1,2007,1689366,6457
35,Charlie Wi,90.0,70.873,286.0,66.59,66.35,0.416,0.005,0.421,3,0,2007,1145975,4038
36,Chris Couch,76.0,71.783,299.8,56.59,64.11,-0.135,-0.481,-0.616,0,0,2007,355386,1494
37,Chris DiMarco,79.0,70.913,282.4,59.05,60.53,-0.068,0.183,0.115,1,0,2007,950414,3385
38,Chris Riley,59.0,71.009,280.6,71.39,62.12,0.281,0.024,0.305,0,0,2007,403199,919
39,Chris Stroud,66.0,71.218,290.0,66.56,66.15,-0.087,0.046,-0.041,2,0,2007,673106,1174
40,Chris Tidland,59.0,71.967,292.9,61.8,63.64,0.547,-1.253,-0.706,1,0,2007,339482,1044
41,Cliff Kresge,107.0,70.76,285.6,61.15,64.75,0.095,-0.021,0.074,1,0,2007,901549,3915
42,Corey Pavin,81.0,71.276,265.3,68.82,60.77,0.309,-0.487,-0.178,1,0,2007,498252,2081
43,Craig Barlow,52.0,71.343,295.5,60.97,67.2,-0.253,0.278,0.024,0,0,2007,154214,451
44,Craig Bowden,78.0,71.565,273.1,73.07,64.91,0.255,-0.258,-0.004,1,0,2007,333970,1193
45,Craig Kanada,109.0,71.065,277.2,65.96,64.5,0.012,-0.001,0.011,1,0,2007,743305,3189
46,Craig Lile,77.0,71.386,283.9,63.27,63.04,0.484,-0.592,-0.108,0,0,2007,255659,599
47,D.J. Brigman,67.0,71.467,288.9,62.2,66.05,-0.026,-0.464,-0.49,0,0,2007,268205,653
48,D.J. Trahan,99.0,71.083,295.1,65.36,66.95,-0.559,0.53,-0.029,3,0,2007,1106374,2874
49,Daisuke Maruyama,86.0,71.547,288.6,67.42,64.91,-0.265,-0.12,-0.385,1,0,2007,499206,685
50,Daniel Chopra,106.0,70.948,297.6,55.34,65.2,0.222,0.18,0.402,3,1,2007,1755110,2919
51,Darron Stiles,65.0,71.592,284.8,68.35,65.48,-1.017,0.368,-0.649,0,0,2007,215379,922
52,David Branshaw,83.0,72.223,289.2,65.74,64.73,-0.382,-0.662,-1.044,1,0,2007,323407,324
53,David Toms,80.0,69.883,282.5,64.85,63.78,0.278,0.612,0.89,7,0,2007,2095837,8859
54,Davis Love III,66.0,70.984,296.8,58.58,64.02,-0.29,0.337,0.048,3,0,2007,1016489,4317
55,Dean Wilson,92.0,70.557,277.2,64.0,63.35,0.619,-0.175,0.444,4,0,2007,1258507,4789
56,Dicky Pride,71.0,71.465,281.4,62.65,63.6,0.307,-0.63,-0.322,1,0,2007,415792,907
57,Doug LaBelle II,104.0,71.332,276.6,72.78,64.33,-0.018,-0.32,-0.338,1,0,2007,604633,2734
58,Duffy Waldorf,69.0,71.648,287.5,64.88,66.99,-0.219,-0.032,-0.25,0,0,2007,359018,1313
59,Eric Axley,107.0,71.97,287.8,55.88,61.32,0.059,-0.784,-0.726,0,0,2007,440911,1740
60,Ernie Els,59.0,69.294,297.9,56.99,64.66,-0.031,1.609,1.578,5,0,2007,2705715,12112
61,Frank Lickliter II,95.0,71.137,284.2,65.64,65.15,0.227,-0.139,0.088,0,0,2007,584084,2350
62,Fred Funk,65.0,70.55,271.8,75.26,61.75,0.265,-0.053,0.211,2,1,2007,1239376,4626
63,Freddie Jacobson,70.0,70.259,284.7,63.62,66.19,0.66,0.353,1.012,5,0,2007,1469541,4540
64,Gavin Coles,87.0,71.245,268.3,70.27,62.58,0.34,-0.626,-0.286,2,0,2007,511353,2174
65,Geoff Ogilvy,84.0,70.085,295.3,59.02,62.75,0.072,0.749,0.821,7,0,2007,2943203,13390
66,George McNeill,95.0,70.991,298.2,59.84,63.43,0.487,-0.213,0.274,2,1,2007,1504627,3524
67,Glen Day,85.0,71.172,280.7,70.42,64.33,0.063,-0.238,-0.175,0,0,2007,397491,1672
68,Greg Owen,81.0,72.086,296.5,64.08,68.14,-0.848,-0.066,-0.915,1,0,2007,426601,1321
69,Harrison Frazar,88.0,71.569,302.8,55.07,63.63,-0.439,0.011,-0.429,2,0,2007,698534,2710
70,Heath Slocum,101.0,69.948,279.6,73.28,66.45,0.22,0.659,0.879,6,0,2007,2184379,9132
71,Henrik Stenson,52.0,70.935,296.3,56.97,61.23,0.3,-0.012,0.288,2,1,2007,1897554,6948
72,Hunter Mahan,91.0,69.99,296.7,68.05,66.91,0.213,0.419,0.632,6,1,2007,2858995,13380
73,Ian Poulter,63.0,70.073,282.5,63.23,61.67,-0.038,0.958,0.92,5,0,2007,1431390,6884
74,J.B. Holmes,71.0,71.377,312.6,58.7,64.57,-0.559,0.223,-0.336,3,0,2007,874216,3035
75,J.J. Henry,86.0,70.506,294.4,63.96,66.67,0.024,0.45,0.473,2,0,2007,1088660,3624
76,J.P. Hayes,89.0,71.065,291.9,61.26,62.92,-0.002,0.297,0.295,3,0,2007,890815,2767
77,Jaco Van Zyl,51.0,72.691,285.3,68.61,63.95,-0.418,-0.723,-1.141,0,0,2007,53763,224
78,Jarrod Lyle,77.0,71.142,292.6,60.84,64.61,0.149,0.021,0.17,0,0,2007,390303,869
79,Jason Bohn,57.0,70.614,287.1,65.2,65.01,-0.185,0.534,0.348,0,0,2007,527512,2334
80,Jason Dufner,100.0,71.154,289.7,60.74,65.06,-0.089,0.077,-0.012,1,0,2007,574992,2530
81,Jason Gore,86.0,70.969,303.0,63.33,65.57,0.1,0.108,0.208,3,0,2007,1105985,4483
82,Jason Schultz,63.0,71.69,295.7,60.61,62.24,0.022,-0.495,-0.474,0,0,2007,163244,504
83,Jeff Brehaut,59.0,71.754,291.2,66.04,65.11,-0.25,-0.397,-0.647,0,0,2007,202389,711
84,Jeff Gove,103.0,71.146,290.5,65.67,70.17,-0.774,0.812,0.038,1,0,2007,526644,1763
85,Jeff Maggert,79.0,71.195,284.2,65.73,66.53,-0.066,0.019,-0.047,1,0,2007,845585,3304
86,Jeff Overton,60.0,70.339,299.3,63.66,68.87,0.06,0.822,0.882,3,0,2007,1009630,2977
87,Jeff Quinney,95.0,71.112,281.5,65.99,65.61,0.067,-0.104,-0.037,5,0,2007,1612056,6160
88,Jeff Sluman,60.0,71.758,280.5,59.41,61.01,-0.313,-0.335,-0.648,1,0,2007,273192,1030
89,Jerry Kelly,101.0,70.313,281.0,68.28,64.83,-0.227,0.848,0.621,7,0,2007,1978034,8259
90,Jesper Parnevik,88.0,70.629,288.5,62.31,66.53,0.979,-0.375,0.604,1,0,2007,1075216,1976
91,Jim Furyk,84.0,69.474,279.7,74.37,69.44,-0.083,1.202,1.119,8,1,2007,4154046,19214
92,Jim Rutledge,59.0,72.679,288.5,67.27,64.24,-0.425,-1.042,-1.466,0,0,2007,62242,178
93,Joe Durant,88.0,71.038,284.3,73.71,68.52,-0.901,0.88,-0.021,0,0,2007,723599,2500
94,Joe Ogilvie,102.0,70.761,289.5,61.23,61.68,0.351,0.073,0.425,2,1,2007,1339153,4311
95,Joey Sindelar,75.0,71.664,287.1,65.29,66.67,-0.102,-0.171,-0.273,0,0,2007,310717,1160
96,John Daly,59.0,71.927,312.9,41.86,61.3,-0.297,-0.478,-0.775,0,0,2007,248501,1081
97,John Mallinger,96.0,71.085,280.9,69.91,62.96,0.068,-0.068,0.0,4,0,2007,1681764,5888
98,John Merrick,92.0,71.265,297.1,61.41,69.13,-0.409,0.385,-0.025,1,0,2007,649438,2358
99,John Rollins,102.0,70.419,290.4,64.81,63.64,0.104,0.413,0.517,4,0,2007,2488891,10577
100,John Senden,97.0,70.566,294.2,65.91,70.33,-0.25,0.778,0.528,5,0,2007,1899558,6268
101,Johnson Wagner,97.0,71.144,285.5,64.18,67.75,-0.229,0.424,0.195,2,0,2007,1013024,2420
102,Jonathan Byrd,73.0,70.488,292.0,59.84,63.55,0.296,0.213,0.51,4,1,2007,1854906,9969
103,JosÃ© Coceres,50.0,70.737,273.0,75.47,61.96,-0.283,0.245,-0.038,3,0,2007,1287843,4980
104,JosÃ© MarÃ­a OlazÃ¡bal,52.0,71.521,276.0,50.5,54.33,0.481,-0.945,-0.464,1,0,2007,979249,3202
105,Justin Leonard,95.0,70.527,282.7,70.05,64.8,0.124,0.393,0.517,5,1,2007,2079248,3998
106,Justin Rose,63.0,69.301,288.7,63.93,65.73,0.061,0.816,0.878,7,0,2007,2705875,12682
107,K.J. Choi,87.0,69.611,284.1,64.71,65.29,0.518,0.874,1.392,7,2,2007,4587859,21750
108,Ken Duke,112.0,70.628,288.4,67.5,65.58,0.1,0.439,0.539,5,0,2007,1927102,6656
109,Kenny Perry,83.0,70.369,299.6,64.61,67.54,-0.337,0.981,0.643,3,0,2007,1197618,5550
110,Kent Jones,97.0,71.162,287.1,68.46,66.95,-0.141,0.317,0.175,2,0,2007,651108,1196
111,Kevin Na,84.0,70.884,287.4,62.64,61.97,0.348,-0.027,0.321,3,0,2007,856669,3362
112,Kevin Stadler,95.0,71.895,292.9,60.27,65.57,-0.75,0.05,-0.7,2,0,2007,810876,3055
113,Kevin Sutherland,85.0,70.747,291.3,60.62,65.49,-0.023,0.082,0.059,3,0,2007,1351942,6278
114,Kirk Triplett,77.0,71.818,277.5,70.39,65.58,-0.595,0.01,-0.584,0,0,2007,316034,1033
115,Kyle Reifers,71.0,72.407,296.3,59.15,64.49,-0.322,-0.442,-0.764,0,0,2007,276369,897
116,Lee Janzen,66.0,71.715,288.0,59.06,64.32,-0.226,-0.382,-0.609,0,0,2007,409189,1694
117,Lucas Glover,98.0,70.417,295.4,64.14,66.27,0.113,0.619,0.731,3,0,2007,1664167,7729
118,Luke Donald,69.0,70.118,278.4,68.15,63.18,0.438,0.489,0.927,5,0,2007,2190053,9075
119,Marco Dawson,73.0,71.336,289.8,59.84,63.62,0.103,-0.107,-0.004,1,0,2007,521432,1669
120,Mark Brooks,53.0,71.783,275.2,72.81,64.85,-0.211,-0.5,-0.712,0,0,2007,162839,489
121,Mark Calcavecchia,93.0,70.579,290.2,65.09,64.11,-0.213,0.717,0.504,6,1,2007,2993332,16285
122,Mark Hensby,81.0,71.408,287.0,63.45,63.37,0.204,-0.47,-0.267,1,0,2007,969731,1561
123,Mark Wilson,87.0,70.57,285.3,67.1,64.86,0.024,0.443,0.467,3,1,2007,1637112,6888
124,Mathew Goggin,97.0,70.703,298.7,67.36,68.84,-0.018,0.365,0.347,1,0,2007,969488,2468
125,Mathias GrÃ¶nberg,95.0,71.214,301.5,59.7,64.5,-0.004,0.001,-0.003,2,0,2007,785180,1515
126,Matt Hendrix,63.0,72.369,301.7,62.63,64.94,-0.339,-0.878,-1.217,0,0,2007,108269,238
127,Matt Kuchar,85.0,70.703,277.1,66.2,64.95,0.041,0.369,0.41,2,0,2007,886146,3915
128,Michael Allen,74.0,71.077,293.0,64.31,66.59,-0.035,0.129,0.094,2,0,2007,1016952,1279
129,Michael Boyd,61.0,72.095,278.7,74.34,63.06,0.072,-0.933,-0.861,0,0,2007,126839,294
130,Michael Putnam,96.0,71.215,294.5,59.97,67.03,-0.166,-0.009,-0.175,0,0,2007,422359,1791
131,Michael Sim,52.0,71.219,291.1,61.92,64.53,0.298,-0.258,0.04,1,0,2007,399900,1144
132,Mike Weir,82.0,70.151,289.3,63.82,63.03,-0.294,1.005,0.711,4,1,2007,1986053,4003
133,Nathan Green,103.0,70.644,284.3,61.8,61.9,0.241,0.022,0.263,2,0,2007,1380317,6767
134,Nick O'Hern,72.0,70.63,279.3,62.68,60.21,-0.057,0.227,0.17,3,0,2007,1342391,5330
135,Nick Watney,87.0,70.789,301.4,61.02,66.48,-0.198,0.454,0.256,3,1,2007,1838629,6881
136,Padraig Harrington,64.0,69.822,293.2,57.52,60.3,0.26,0.666,0.926,3,1,2007,2658283,10208
137,Parker McLachlin,83.0,71.516,288.5,57.01,60.55,0.419,-0.763,-0.344,1,0,2007,627582,1307
138,Pat Perez,84.0,70.051,296.6,61.13,65.49,0.09,0.24,0.33,6,0,2007,1678295,6820
139,Paul Gow,70.0,72.016,280.1,65.51,63.72,-0.294,-0.69,-0.985,1,0,2007,264149,1001
140,Paul Goydos,60.0,70.807,272.4,68.83,59.42,0.37,-0.177,0.193,1,1,2007,1229355,5665
141,Paul Stankowski,52.0,71.427,295.7,60.03,63.19,-0.159,-0.19,-0.349,0,0,2007,282389,1288
142,Peter Lonard,85.0,70.611,290.9,66.7,64.61,-0.179,0.32,0.141,3,0,2007,1259881,4764
143,Phil Mickelson,73.0,69.456,298.1,56.94,64.95,0.156,1.441,1.597,7,3,2007,5819988,27394
144,Retief Goosen,50.0,70.297,292.9,53.55,58.91,-0.02,0.225,0.206,1,0,2007,1044386,3796
145,Rich Barcelo,80.0,71.659,286.0,58.07,63.11,0.435,-0.857,-0.422,1,0,2007,334244,1217
146,Rich Beem,89.0,71.036,291.0,65.25,64.36,0.027,0.228,0.254,2,0,2007,868658,3987
147,Richard Johnson,93.0,71.555,281.1,65.56,64.65,0.24,-0.638,-0.398,0,0,2007,377951,1294
148,Robert Allenby,90.0,70.462,299.6,60.85,68.29,-0.364,1.034,0.67,8,0,2007,2219538,10470
149,Robert Gamez,88.0,71.629,281.2,69.28,65.81,-0.215,-0.197,-0.413,3,0,2007,693464,1217
150,Robert Garrigus,95.0,71.358,310.5,52.86,67.02,-0.062,0.08,0.018,4,0,2007,1260010,4441
151,Rocco Mediate,72.0,70.998,278.1,67.76,64.89,-0.041,0.249,0.208,3,0,2007,1166294,5271
152,Rod Pampling,92.0,70.335,286.4,63.33,65.12,0.01,0.638,0.649,2,0,2007,1475970,6180
153,Rory Sabbatini,81.0,69.741,289.9,59.14,61.6,0.549,0.716,1.265,10,1,2007,4550040,21491
154,Ryan Armour,107.0,71.048,284.7,70.31,66.29,0.129,-0.165,-0.036,3,0,2007,862979,2705
155,Ryan Moore,92.0,70.7,290.7,64.0,65.64,0.133,0.355,0.488,3,0,2007,1554901,6171
156,Ryan Palmer,91.0,71.68,294.9,57.92,63.8,0.102,-0.296,-0.194,1,0,2007,524988,2142
157,Ryuji Imada,104.0,70.952,282.6,58.77,62.72,0.474,-0.214,0.26,2,0,2007,1414864,6071
158,Scott Gutschewski,67.0,71.994,306.1,55.96,62.7,0.03,-0.866,-0.837,0,0,2007,252179,870
159,Scott Verplank,82.0,69.693,279.6,71.42,64.33,-0.236,1.179,0.943,10,1,2007,3114289,13403
160,Sean O'Hair,98.0,70.19,296.8,64.71,67.12,0.18,0.972,1.152,5,0,2007,1921226,6292
161,Sergio Garcia,68.0,69.481,294.2,56.28,64.56,0.269,1.192,1.461,7,0,2007,3721185,15824
162,Shaun Micheel,91.0,70.964,284.4,67.72,66.04,-0.027,0.393,0.366,3,0,2007,948195,3263
163,Shigeki Maruyama,84.0,71.175,277.7,63.02,60.98,0.396,-0.461,-0.065,2,0,2007,951288,1942
164,Stephen Ames,81.0,70.09,282.2,67.07,64.94,0.251,0.33,0.58,4,1,2007,2103426,5100
165,Stephen Leaney,82.0,70.82,277.4,65.82,68.43,0.219,0.193,0.412,2,0,2007,1015200,4596
166,Steve Allan,63.0,70.873,302.4,60.05,64.78,0.259,-0.015,0.244,1,0,2007,568059,2479
167,Steve Elkington,87.0,70.532,280.7,71.84,63.05,0.324,0.505,0.83,2,0,2007,911875,3965
168,Steve Flesch,100.0,70.958,287.5,63.56,65.83,-0.244,0.252,0.007,3,2,2007,2288899,5314
169,Steve Lowery,74.0,71.573,292.0,63.33,66.29,-0.086,-0.144,-0.23,1,0,2007,502622,1536
170,Steve Marino,106.0,70.954,298.1,60.71,66.07,-0.189,0.363,0.175,4,0,2007,1179165,5017
171,Steve Stricker,81.0,69.394,283.7,63.73,65.83,0.322,1.164,1.486,9,1,2007,4663077,25126
172,Steve Wheatcroft,73.0,72.138,286.1,66.29,64.25,-0.153,-0.726,-0.879,0,0,2007,153246,429
173,Stewart Cink,91.0,70.133,294.7,56.47,66.16,0.412,0.256,0.668,6,0,2007,2483146,10227
174,Stuart Appleby,74.0,70.477,290.9,60.43,61.57,-0.037,0.376,0.339,3,0,2007,1803385,7189
175,Tag Ridings,52.0,71.435,303.9,57.1,62.78,0.605,-0.674,-0.069,1,0,2007,351590,416
176,Ted Purdy,102.0,71.36,294.1,64.31,67.23,-0.37,0.2,-0.17,1,0,2007,758734,3056
177,Tiger Woods,63.0,67.794,302.4,59.83,71.02,0.712,2.38,3.092,12,7,2007,10867052,53607
178,Tim Clark,66.0,69.877,278.1,68.95,61.37,0.695,0.293,0.988,6,0,2007,2615152,10817
179,Tim Herron,98.0,70.509,287.3,61.78,64.6,0.092,0.362,0.454,1,0,2007,951200,3289
180,Tim Petrovic,106.0,70.879,286.4,60.22,62.89,0.29,-0.175,0.115,1,0,2007,1052447,4642
181,Todd Hamilton,76.0,72.933,288.7,57.06,56.94,0.032,-1.585,-1.554,0,0,2007,109776,358
182,Tom Byrum,50.0,72.018,281.4,71.75,65.16,-0.077,-0.765,-0.842,0,0,2007,201508,792
183,Tom Johnson,74.0,71.865,288.4,64.57,64.51,-0.372,-0.443,-0.815,0,0,2007,190926,826
184,Tom Lehman,62.0,70.667,284.6,64.01,68.19,-0.355,0.656,0.302,3,0,2007,880824,3702
185,Tom Pernice Jr.,104.0,70.659,281.4,66.83,61.86,0.324,0.313,0.637,2,0,2007,927408,3679
186,Tommy Armour III,81.0,71.133,285.7,70.17,69.84,0.019,0.138,0.157,2,0,2007,919134,2973
187,Trevor Immelman,74.0,70.731,286.6,64.85,65.52,-0.253,0.735,0.482,4,0,2007,1801647,6931
188,Tripp Isenhour,86.0,71.635,287.1,64.37,60.57,0.161,-0.675,-0.514,1,0,2007,471980,2099
189,Troy Matteson,87.0,70.951,296.6,59.92,63.54,0.169,0.147,0.316,3,0,2007,1282421,6502
190,Vaughn Taylor,91.0,70.561,283.6,64.2,64.18,0.237,0.269,0.506,3,0,2007,1313353,5447
191,Vijay Singh,102.0,69.489,293.8,59.66,66.22,-0.023,1.402,1.379,7,2,2007,4728376,21193
192,Will MacKenzie,100.0,70.718,291.4,62.11,66.17,-0.173,0.516,0.342,3,0,2007,1116507,4831
193,Woody Austin,95.0,70.419,286.1,63.32,65.5,-0.208,0.527,0.319,3,1,2007,2887596,13240
194,Zach Johnson,76.0,69.906,280.4,73.05,64.44,0.659,0.415,1.074,5,2,2007,3922338,19214
195,Aaron Baddeley,76.0,70.196,290.3,59.45,62.02,0.762,0.123,0.885,3,0,2008,1665587,11250
196,Adam Scott,51.0,70.06,302.1,54.66,63.72,-0.44,1.299,0.859,3,1,2008,1979160,11777
197,Alejandro CaÃ±izares,52.0,71.151,287.1,62.36,62.37,0.1,-0.527,-0.426,0,0,2008,162115,497
198,Alex Cejka,75.0,71.096,282.7,65.42,63.12,-0.444,0.434,-0.01,4,0,2008,893998,3802
199,Andres Romero,69.0,70.816,299.1,52.83,58.79,0.008,-0.414,-0.406,3,1,2008,2064612,15609
200,Anthony Kim,81.0,69.279,300.9,58.34,65.78,0.362,1.117,1.479,8,2,2008,4656265,30847
201,Bart Bryant,81.0,70.205,279.5,73.87,64.88,-0.004,0.693,0.689,2,0,2008,1719153,11356
202,Ben Crane,86.0,70.155,287.8,67.64,65.76,0.745,0.135,0.88,4,0,2008,1488505,10578
203,Ben Curtis,80.0,69.981,284.7,67.2,63.45,0.321,0.44,0.761,5,0,2008,2615798,20956
204,Bill Haas,99.0,70.638,296.7,59.95,68.07,0.09,0.3,0.391,2,0,2008,1000939,7384
205,Billy Andrade,71.0,71.967,283.3,59.35,63.52,-0.311,-0.653,-0.963,0,0,2008,243490,949
206,Billy Mayfair,103.0,70.512,284.0,72.16,68.12,-0.228,0.605,0.377,4,0,2008,1750683,16805
207,Bo Van Pelt,101.0,70.956,292.0,62.06,67.3,-0.149,0.13,-0.019,1,0,2008,903967,7006
208,Bob Estes,90.0,70.742,282.6,66.48,68.69,0.146,0.352,0.498,2,0,2008,829395,2423
209,Bob Sowards,61.0,71.967,287.9,60.89,63.43,0.101,-0.948,-0.847,1,0,2008,263327,920
210,Bob Tway,70.0,70.262,279.2,67.34,67.36,0.822,0.09,0.912,1,0,2008,785641,2615
211,Boo Weekley,86.0,70.414,291.7,64.75,67.87,-0.498,1.048,0.55,5,1,2008,2398751,14342
212,Brad Adamonis,87.0,71.079,289.9,58.1,65.86,-0.332,0.132,-0.2,3,0,2008,862413,3707
213,Brad Elder,67.0,71.547,289.8,61.67,64.94,0.267,-0.673,-0.406,1,0,2008,270365,212
214,Brandt Jobe,52.0,71.078,298.8,56.35,66.45,-0.107,-0.117,-0.224,0,0,2008,293214,940
215,Brandt Snedeker,85.0,70.506,280.8,60.51,63.36,0.122,0.161,0.282,5,0,2008,1531442,12211
216,Brenden Pappas,66.0,70.977,294.9,57.49,65.28,0.335,-0.368,-0.033,1,0,2008,384072,962
217,Brett Quigley,80.0,70.897,287.5,61.76,64.53,0.102,0.324,0.426,2,0,2008,878216,7353
218,Brett Rumford,72.0,72.023,282.7,56.04,61.52,-0.332,-0.54,-0.873,1,0,2008,386419,1624
219,Brian Davis,108.0,70.718,277.7,72.47,65.23,-0.08,0.385,0.305,2,0,2008,1151558,10431
220,Brian Gay,102.0,70.015,270.5,71.74,63.71,0.511,0.205,0.716,6,1,2008,2205513,11465
221,Briny Baird,113.0,70.187,285.2,66.03,70.0,-0.231,0.931,0.7,3,0,2008,2039808,15865
222,Bubba Watson,97.0,70.789,315.1,55.16,67.6,-0.385,0.904,0.518,3,0,2008,1533523,14850
223,Cameron Beckman,87.0,71.238,281.9,67.64,65.82,-0.282,0.171,-0.111,2,1,2008,1312837,1262
224,Camilo Villegas,79.0,69.49,293.3,58.15,64.6,0.088,1.166,1.254,7,2,2008,4422641,34541
225,Carl Pettersson,110.0,70.245,286.0,59.87,63.54,0.534,0.22,0.754,5,1,2008,2512538,19315
226,Carlos Franco,73.0,71.099,285.6,58.2,66.83,0.23,-0.19,0.04,0,0,2008,378769,1372
227,Chad Campbell,94.0,70.04,289.9,65.68,68.44,0.169,0.732,0.901,7,0,2008,2404770,15686
228,Chad Collins,72.0,71.538,277.5,58.98,60.86,0.648,-1.131,-0.483,0,0,2008,339959,632
229,Charles Howell III,101.0,70.82,293.6,56.78,66.78,-0.104,0.648,0.545,4,0,2008,1449232,6323
230,Charles Warren,79.0,72.106,301.1,65.43,66.88,-0.947,0.031,-0.916,2,0,2008,800694,2769
231,Charley Hoffman,94.0,71.287,300.8,63.35,66.24,-0.118,0.038,-0.079,3,0,2008,945702,9833
232,Charlie Wi,97.0,70.229,287.4,67.33,66.44,0.014,0.456,0.47,4,0,2008,1515395,11345
233,Chez Reavie,102.0,70.957,281.8,72.56,66.61,-0.194,0.138,-0.056,2,1,2008,1444102,10869
234,Chris DiMarco,87.0,71.378,277.4,63.12,63.35,0.133,-0.316,-0.183,1,0,2008,590744,1871
235,Chris Riley,51.0,71.237,279.1,66.5,61.89,0.213,-0.667,-0.454,1,0,2008,388850,1277
236,Chris Stroud,81.0,71.73,287.4,66.38,67.63,-0.413,-0.143,-0.556,2,0,2008,482405,499
237,Cliff Kresge,84.0,70.954,280.9,62.26,65.0,-0.118,0.0,-0.118,4,0,2008,1068207,4487
238,Corey Pavin,69.0,70.325,261.4,69.22,57.95,0.973,-0.594,0.379,2,0,2008,924282,5989
239,Craig Kanada,65.0,71.058,272.6,69.38,62.52,0.407,-0.615,-0.208,0,0,2008,363597,1604
240,D.J. Trahan,94.0,70.329,291.3,65.31,66.25,-0.411,0.934,0.523,4,1,2008,2304368,17274
241,Daniel Chopra,84.0,71.204,294.2,52.76,59.77,0.786,-0.726,0.061,1,1,2008,1630690,6375
242,David Duval,51.0,73.203,285.5,49.01,57.84,-0.16,-1.716,-1.876,0,0,2008,114974,149
243,David Lutterus,59.0,72.383,287.9,61.06,62.37,-0.903,-0.798,-1.701,0,0,2008,129886,566
